,paths,label
21,Leaf_disease\Bacterial Leaf blight masks\DSC_0393.pgm,Bacterial Leaf blight 
22,Leaf_disease\Bacterial Leaf blight masks\DSC_0395.pgm,Bacterial Leaf blight 
23,Leaf_disease\Bacterial Leaf blight masks\DSC_0397.pgm,Bacterial Leaf blight 
24,Leaf_disease\Bacterial Leaf blight masks\DSC_0398.pgm,Bacterial Leaf blight 
25,Leaf_disease\Bacterial Leaf blight masks\DSC_0399.pgm,Bacterial Leaf blight 
26,Leaf_disease\Bacterial Leaf blight masks\DSC_0400.pgm,Bacterial Leaf blight 
27,Leaf_disease\Bacterial Leaf blight masks\DSC_0401.pgm,Bacterial Leaf blight 
28,Leaf_disease\Bacterial Leaf blight masks\DSC_0402.pgm,Bacterial Leaf blight 
29,Leaf_disease\Bacterial Leaf blight masks\DSC_0403.pgm,Bacterial Leaf blight 
30,Leaf_disease\Bacterial Leaf blight masks\DSC_0405.pgm,Bacterial Leaf blight 
31,Leaf_disease\Bacterial Leaf blight masks\DSC_0406.pgm,Bacterial Leaf blight 
32,Leaf_disease\Bacterial Leaf blight masks\DSC_0700.pgm,Bacterial Leaf blight 
33,Leaf_disease\Bacterial Leaf blight masks\DSC_0701.pgm,Bacterial Leaf blight 
34,Leaf_disease\Bacterial Leaf blight masks\DSC_0702.pgm,Bacterial Leaf blight 
35,Leaf_disease\Bacterial Leaf blight masks\DSC_0703.pgm,Bacterial Leaf blight 
36,Leaf_disease\Brown spot masks\DSC_0100.pgm,Brown spot 
37,Leaf_disease\Brown spot masks\DSC_0101.pgm,Brown spot 
38,Leaf_disease\Brown spot masks\DSC_0104.pgm,Brown spot 
39,Leaf_disease\Brown spot masks\DSC_0105.pgm,Brown spot 
40,Leaf_disease\Brown spot masks\DSC_0106.pgm,Brown spot 
41,Leaf_disease\Brown spot masks\DSC_0107.pgm,Brown spot 
42,Leaf_disease\Brown spot masks\DSC_0108.pgm,Brown spot 
43,Leaf_disease\Brown spot masks\DSC_0109.pgm,Brown spot 
44,Leaf_disease\Brown spot masks\DSC_0110.pgm,Brown spot 
45,Leaf_disease\Brown spot masks\DSC_0111.pgm,Brown spot 
46,Leaf_disease\Brown spot masks\DSC_0112.pgm,Brown spot 
47,Leaf_disease\Brown spot masks\DSC_0113.pgm,Brown spot 
48,Leaf_disease\Brown spot masks\DSC_0114.pgm,Brown spot 
49,Leaf_disease\Brown spot masks\DSC_0115.pgm,Brown spot 
50,Leaf_disease\Brown spot masks\DSC_0116.pgm,Brown spot 
51,Leaf_disease\Brown spot masks\DSC_0117.pgm,Brown spot 
52,Leaf_disease\Brown spot masks\DSC_0118.pgm,Brown spot 
53,Leaf_disease\Brown spot masks\DSC_0119.pgm,Brown spot 
54,Leaf_disease\Brown spot masks\DSC_0121.pgm,Brown spot 
55,Leaf_disease\Brown spot masks\DSC_0292.pgm,Brown spot 
56,Leaf_disease\Brown spot masks\DSC_0295.pgm,Brown spot 
57,Leaf_disease\Brown spot masks\DSC_0296.pgm,Brown spot 
58,Leaf_disease\Brown spot masks\DSC_0299.pgm,Brown spot 
59,Leaf_disease\Brown spot masks\DSC_0300.pgm,Brown spot 
60,Leaf_disease\Brown spot masks\DSC_0301.pgm,Brown spot 
61,Leaf_disease\Brown spot masks\DSC_0302.pgm,Brown spot 
62,Leaf_disease\Brown spot masks\DSC_0303.pgm,Brown spot 
63,Leaf_disease\Brown spot masks\DSC_0304.pgm,Brown spot 
64,Leaf_disease\Brown spot masks\DSC_0305.pgm,Brown spot 
65,Leaf_disease\Brown spot masks\DSC_0306.pgm,Brown spot 
66,Leaf_disease\Brown spot masks\DSC_0307.pgm,Brown spot 
67,Leaf_disease\Brown spot masks\DSC_0323.pgm,Brown spot 
68,Leaf_disease\Brown spot masks\DSC_0324.pgm,Brown spot 
69,Leaf_disease\Brown spot masks\DSC_0325.pgm,Brown spot 
70,Leaf_disease\Brown spot masks\DSC_0329.pgm,Brown spot 
71,Leaf_disease\Brown spot masks\DSC_0332.pgm,Brown spot 
72,Leaf_disease\Brown spot masks\DSC_0333.pgm,Brown spot 
73,Leaf_disease\Brown spot masks\DSC_0337.pgm,Brown spot 
74,Leaf_disease\Brown spot masks\DSC_0391.pgm,Brown spot 
75,Leaf_disease\Brown spot masks\DSC_0394.pgm,Brown spot 
76,Leaf_disease\leaf smut masks\DSC_0293.pgm,leaf smut 
77,Leaf_disease\leaf smut masks\DSC_0308.pgm,leaf smut 
78,Leaf_disease\leaf smut masks\DSC_0309.pgm,leaf smut 
79,Leaf_disease\leaf smut masks\DSC_0310.pgm,leaf smut 
80,Leaf_disease\leaf smut masks\DSC_0312.pgm,leaf smut 
81,Leaf_disease\leaf smut masks\DSC_0313.pgm,leaf smut 
82,Leaf_disease\leaf smut masks\DSC_0314.pgm,leaf smut 
83,Leaf_disease\leaf smut masks\DSC_0315.pgm,leaf smut 
84,Leaf_disease\leaf smut masks\DSC_0316.pgm,leaf smut 
85,Leaf_disease\leaf smut masks\DSC_0317.pgm,leaf smut 
86,Leaf_disease\leaf smut masks\DSC_0318.pgm,leaf smut 
87,Leaf_disease\leaf smut masks\DSC_0319.pgm,leaf smut 
88,Leaf_disease\leaf smut masks\DSC_0320.pgm,leaf smut 
89,Leaf_disease\leaf smut masks\DSC_0321.pgm,leaf smut 
90,Leaf_disease\leaf smut masks\DSC_0322.pgm,leaf smut 
91,Leaf_disease\leaf smut masks\DSC_0327.pgm,leaf smut 
92,Leaf_disease\leaf smut masks\DSC_0328.pgm,leaf smut 
93,Leaf_disease\leaf smut masks\DSC_0330.pgm,leaf smut 
94,Leaf_disease\leaf smut masks\DSC_0331.pgm,leaf smut 
95,Leaf_disease\leaf smut masks\DSC_0335.pgm,leaf smut 
96,Leaf_disease\leaf smut masks\DSC_0336.pgm,leaf smut 
97,Leaf_disease\leaf smut masks\DSC_0338.pgm,leaf smut 
98,Leaf_disease\leaf smut masks\DSC_0339.pgm,leaf smut 
99,Leaf_disease\leaf smut masks\DSC_0500.pgm,leaf smut 
100,Leaf_disease\leaf smut masks\DSC_0501.pgm,leaf smut 
101,Leaf_disease\leaf smut masks\DSC_0502.pgm,leaf smut 
102,Leaf_disease\leaf smut masks\DSC_0503.pgm,leaf smut 
103,Leaf_disease\leaf smut masks\DSC_0504.pgm,leaf smut 
104,Leaf_disease\leaf smut masks\DSC_0505.pgm,leaf smut 
105,Leaf_disease\leaf smut masks\DSC_0506.pgm,leaf smut 
106,Leaf_disease\leaf smut masks\DSC_0507.pgm,leaf smut 
107,Leaf_disease\leaf smut masks\DSC_0508.pgm,leaf smut 
108,Leaf_disease\leaf smut masks\DSC_0509.pgm,leaf smut 
109,Leaf_disease\leaf smut masks\DSC_0510.pgm,leaf smut 
110,Leaf_disease\leaf smut masks\DSC_0511.pgm,leaf smut 
111,Leaf_disease\leaf smut masks\DSC_0512.pgm,leaf smut 
112,Leaf_disease\leaf smut masks\DSC_0513.pgm,leaf smut 
113,Leaf_disease\leaf smut masks\DSC_0514.pgm,leaf smut 
114,Leaf_disease\leaf smut masks\DSC_0515.pgm,leaf smut 
115,Leaf_disease\leaf smut masks\DSC_0516.pgm,leaf smut 
