contrast,dissimilarity,homogeneity,ASM,energy,label
670.9630435,4.68769493,0.835675752,0.594512542,0.771046394,Bacterial leaf blight
90.42542197,0.893805039,0.928848599,0.795704948,0.892022953,Bacterial leaf blight
11.77321581,0.240161754,0.960379413,0.875640752,0.935756781,Bacterial leaf blight
34.65248899,0.455349499,0.971085427,0.917600685,0.957914759,Bacterial leaf blight
37.40277183,0.482540362,0.974137536,0.928394081,0.963532086,Bacterial leaf blight
145.7374977,1.767417594,0.929228426,0.813418734,0.901897297,Bacterial leaf blight
9.98106883,0.186532993,0.972345303,0.913079836,0.955552111,Bacterial leaf blight
1225.641936,8.209603565,0.868950526,0.692885313,0.832397329,Bacterial leaf blight
52.8808632,0.44780455,0.978197687,0.939602823,0.969331122,Brown spot
392.8243831,2.695163436,0.937549539,0.836717737,0.914722765,Brown spot
563.2126651,3.684862708,0.900514464,0.74492002,0.863087493,Brown spot
1229.143721,8.061773789,0.843277861,0.629045794,0.793124072,Brown spot
406.9765625,2.648835005,0.947892502,0.867425104,0.931356593,Brown spot
1163.691337,7.836900685,0.87179686,0.69888424,0.835992966,Brown spot
784.322235,5.134039414,0.902632954,0.760861821,0.872273937,Brown spot
658.0731638,4.328079134,0.912213949,0.778543703,0.882351236,Brown spot
575.305215,3.752973642,0.932547375,0.830979924,0.911581002,Brown spot
526.4104467,3.461143897,0.928643756,0.817233259,0.904009546,Brown spot
1321.173641,8.616484222,0.848411894,0.644565432,0.802848324,Brown spot
312.7033887,2.065500398,0.947671346,0.860005645,0.927364893,Brown spot
972.4914422,6.013908849,0.917317145,0.805338844,0.897406733,Brown spot
475.8789636,3.157966151,0.926888462,0.81006919,0.900038438,Brown spot
1031.755458,6.856378425,0.856655888,0.653348844,0.808299972,Brown spot
476.9226547,3.130763821,0.934469637,0.8321236,0.91220809,Brown spot
1342.135863,8.835960433,0.795099588,0.521907048,0.722431345,Brown spot
915.7267574,6.095458507,0.869174209,0.682269777,0.825996233,Brown spot
914.6911693,6.68863136,0.847018497,0.635122762,0.796945896,Brown spot
1342.433785,8.852005871,0.839472971,0.626298037,0.79138994,Brown spot
294.4924895,1.967576596,0.94917049,0.861441156,0.928138543,Brown spot
681.6661914,4.613804886,0.915436094,0.790650489,0.889185295,Brown spot
445.3524684,2.896499664,0.94304687,0.850979298,0.922485392,Brown spot
531.4211947,3.522183831,0.921744555,0.796209774,0.892305875,Brown spot
680.8152023,4.62950633,0.907880209,0.770255607,0.877642072,Brown spot
329.6125206,2.176006758,0.949817111,0.868027359,0.931679859,Brown spot
732.943776,4.959767918,0.911612323,0.782882218,0.884806316,Brown spot
1485.976131,9.765942239,0.796135075,0.532496665,0.729723691,Brown spot
1589.140816,13.27927776,0.71828264,0.413553441,0.643081209,Brown spot
1143.462592,7.534410928,0.85665167,0.659487095,0.812088108,Brown spot
53.28926507,0.420617509,0.974875367,0.930982241,0.96487421,Brown spot
1461.276656,9.699325771,0.801973761,0.546022166,0.738933127,Brown spot
1957.709011,12.76054917,0.777956106,0.507640072,0.712488647,Brown spot
777.8660944,5.09839775,0.896618748,0.744796357,0.86301585,Brown spot
167.8069502,1.119603107,0.972269183,0.925655794,0.962110074,Brown spot
459.7265931,2.793228657,0.954230997,0.887861188,0.942263863,Brown spot
477.8907358,2.931021435,0.951900436,0.881233285,0.938740265,Brown spot
691.1378157,3.874850936,0.923380748,0.811499759,0.900832814,Brown spot
134.6643645,0.935264035,0.975507501,0.934156967,0.96651796,Brown spot
952.3114183,6.271232112,0.781992526,0.478447361,0.691698895,Brown spot
89.78976196,1.100488472,0.949564382,0.862441756,0.928677423,Brown spot
570.4363954,4.351107663,0.803350167,0.530807029,0.728565048,Leaf smut
1354.903074,10.52655256,0.554652561,0.150118357,0.387451102,Leaf smut
824.3484513,7.421485139,0.619906577,0.207926356,0.455989425,Leaf smut
34.49382339,0.430436644,0.978029749,0.937216088,0.968099214,Leaf smut
2331.810474,13.74409094,0.619265501,0.228218683,0.477722391,Leaf smut
608.9191536,3.943003914,0.817182563,0.469256027,0.685022647,Leaf smut
219.9882698,1.382594637,0.922687374,0.728025046,0.853243837,Leaf smut
723.0298511,5.00300422,0.764479887,0.380427079,0.61678771,Leaf smut
339.7850416,2.485483427,0.854702324,0.510149041,0.714247184,Leaf smut
25.57120689,0.328499572,0.978631706,0.935589301,0.967258652,Leaf smut
169.517043,1.260170774,0.945137849,0.830225524,0.911167122,Leaf smut
692.5979773,4.256688784,0.808941468,0.406568049,0.637626889,Leaf smut
4.017650746,0.089576199,0.987213692,0.954693902,0.977084388,Leaf smut
1104.792808,6.576512047,0.717423247,0.234509491,0.4842618,Leaf smut
65.49639188,0.83842955,0.953008251,0.860037555,0.927382097,Leaf smut
54.22262185,0.702601364,0.960221243,0.888642669,0.942678455,Leaf smut
27.12946429,0.352487463,0.977290396,0.934869451,0.966886473,Leaf smut
8.633359069,0.34422777,0.939233343,0.825259011,0.908437676,Leaf smut
1218.054603,8.61402275,0.721559629,0.389066818,0.623752208,Leaf smut
796.4850209,6.31654767,0.680318651,0.307518222,0.554543255,Leaf smut
34.24399156,0.373050697,0.975620196,0.927506351,0.963071311,Leaf smut
26.42439763,0.303540851,0.977275443,0.932174377,0.96549178,Leaf smut
43.95408818,0.468727067,0.973521181,0.925822649,0.962196783,Leaf smut
1132.275482,7.854471166,0.816840788,0.567393651,0.753255369,Leaf smut
1257.168657,8.664865154,0.77004928,0.462373362,0.679980413,Leaf smut
794.3519791,5.729471166,0.808548483,0.535114277,0.731515056,Leaf smut
1720.637002,11.80519203,0.716800886,0.377986899,0.614806392,Leaf smut
997.036494,6.946596747,0.816716646,0.568775968,0.754172373,Leaf smut
24.68152596,0.295487555,0.974470602,0.926462708,0.962529328,Leaf smut
28.60492983,0.344541188,0.972607181,0.920769287,0.95956724,Leaf smut
121.4264196,1.159013423,0.93478399,0.819155751,0.905072235,Leaf smut
7.740459883,0.157985262,0.977332186,0.933216236,0.966031178,Leaf smut
35.61374373,0.44630244,0.967301148,0.908285675,0.953040227,Leaf smut
445.9694571,3.906238534,0.839390394,0.58235338,0.763120816,Leaf smut
7.123199761,0.16811017,0.983367198,0.949048521,0.974191214,Leaf smut
39.21409078,0.430226425,0.968051976,0.910681709,0.954296447,Leaf smut
1118.578725,7.796068524,0.756145404,0.443943169,0.666290604,Leaf smut
1611.640912,10.95087375,0.659390656,0.281925283,0.530966367,Leaf smut
